translator,chapter,sentence_no,chinese,spanish,note
arsovska,77,4,"人之道则不然，损不足以奉有余。","El Dao del humano no es así: disipa lo carente para desbordar lo sobrante.",""
arsovska,77,5,"孰能有余以奉天下，唯有道者。","¿Quién es capaz de ofrendar al mundo lo que le sobra? Sólo aquel que posee el Dao.",""
arsovska,77,6,"是以圣人为而不恃，功成而不处，其不欲见贤。","Por ello el sabio actúa sin aferrarse, logra sin asentarse y sin deseo de mostrarse.",""
arsovska,78,1,"天下莫柔弱于水，而攻坚强者莫之能胜，其无以易之。","Nada en el mundo es más blando y flexible que el agua, mas ninguna cosa, por rígida y fuerte que sea, la puede vencer. En lo no manifiesto residen sus cambios.",""
arsovska,78,2,"弱之胜强，柔之胜刚，天下莫不知莫能行。","Lo débil vence a lo fuerte, lo flexible vence a lo rígido. Bajo el cielo todos lo saben, mas no lo practican.",""
arsovska,78,3,"是以圣人云：受国之垢，是谓社稷主；受国不祥，是为天下王。","Por ello dicen los sabios: 'Quien no teme enlodarse es señor de las cosechas; quien puede con las calamidades del Estado es el rey del mundo'.",""
arsovska,78,4,"正言若反。","Éstas son palabras rectas que parecen torcidas.",""
arsovska,79,1,"和大怨，必有余怨，","En toda reconciliación queda siempre un vestigio de resentimiento.",""
arsovska,79,2,"安可以为善？","¿Dónde está entonces la bondad?",""
arsovska,79,3,"是以圣人执左契，而不责于人。","El sabio mantiene el comprobante, pero no presiona por el pago.",""
arsovska,79,4,"有德司契，无德司彻。","El virtuoso busca que se cumpla el trato; el no virtuoso exige el pago de la deuda.",""
arsovska,79,5,"天道无亲，常与善人。","El cielo no es parcial, mas acompaña al bondadoso.",""
arsovska,80,1,"小国寡民。","Estado pequeño, población escasa...",""
arsovska,80,2,"使有什伯之器而不用，","Ten decenas, centenares de armas, pero no las uses.",""
arsovska,80,3,"使民重死而不远徙。","Haz al pueblo respetar la muerte y no migrar a tierras lejanas.",""
arsovska,80,4,"虽有舟舆，无所乘之，","Aunque haya barcos y carrozas, no los abordes.",""
arsovska,80,5,"虽有甲兵，无所陈之。","Aunque tengas armaduras y lanzas, no las despliegues.",""
arsovska,80,6,"使人复结绳而用之，甘其食，美其服，安其居，乐其俗。","Haz que el pueblo nuevamente anude las cuerdas, saboree la comida, embellezca los ropajes, pacifique la morada, disfrute las costumbres.",""
arsovska,80,7,"邻国相望，鸡犬之声相闻，","Estados vecinos se divisan de lejos. Perros y gallos se oyen entre sí.",""
arsovska,80,8,"民至老死，不相往来。","Los habitantes envejecen y mueren sin jamás interactuar.",""
arsovska,81,1,"信言不美，美言不信。","Las palabras confiables no son bellas; las palabras bellas no son confiables.",""
arsovska,81,2,"善者不辩，辩者不善。","Quien es bondadoso no discute; quien discute no es bondadoso.",""
arsovska,81,3,"知者不博，博者不知。","Quien sabe no se exhibe; quien se exhibe no sabe.",""
arsovska,81,4,"圣人不积，既以为人己愈有，既以与人己愈多。","El sabio no acumula. Cuanto más ayuda, más posee; cuanto más da, más recibe.",""
arsovska,81,5,"天之道，利而不害；","El Dao del cielo beneficia sin perjudicar.",""
arsovska,81,6,"圣人之道，为而不争。","El Dao del sabio actúa sin luchar.",""
